============================================================
YELLOW STICKY TRAP - ACCURATE PEST COUNT ANALYSIS
============================================================

Total Insects Detected: 178

Size Classification:
  - Small insects:  163 (91.6%)
  - Medium insects: 15 (8.4%)
  - Large insects:  0 (0.0%)

Size Criteria:
  - Minimum area: 20 pixels²
  - Small: area < 200 pixels²
  - Medium: area 200-1000 pixels²
  - Large: area > 1000 pixels²

Individual Insect Details:
------------------------------------------------------------
ID: 1 | Size: Small | Area: 39 px² | Position: (71, 407)
ID: 2 | Size: Small | Area: 40 px² | Position: (63, 401)
ID: 3 | Size: Small | Area: 46 px² | Position: (159, 401)
ID: 4 | Size: Small | Area: 116 px² | Position: (105, 400)
ID: 5 | Size: Small | Area: 27 px² | Position: (10, 397)
ID: 6 | Size: Small | Area: 32 px² | Position: (72, 395)
ID: 7 | Size: Small | Area: 31 px² | Position: (63, 388)
ID: 8 | Size: Small | Area: 36 px² | Position: (28, 388)
ID: 9 | Size: Medium | Area: 214 px² | Position: (213, 393)
ID: 10 | Size: Small | Area: 58 px² | Position: (132, 390)
ID: 11 | Size: Small | Area: 52 px² | Position: (144, 388)
ID: 12 | Size: Small | Area: 75 px² | Position: (118, 390)
ID: 13 | Size: Small | Area: 42 px² | Position: (179, 385)
ID: 14 | Size: Small | Area: 86 px² | Position: (43, 388)
ID: 15 | Size: Small | Area: 44 px² | Position: (76, 383)
ID: 16 | Size: Small | Area: 23 px² | Position: (239, 381)
ID: 17 | Size: Small | Area: 64 px² | Position: (166, 384)
ID: 18 | Size: Small | Area: 92 px² | Position: (99, 380)
ID: 19 | Size: Small | Area: 22 px² | Position: (59, 377)
ID: 20 | Size: Small | Area: 32 px² | Position: (16, 378)
ID: 21 | Size: Small | Area: 46 px² | Position: (29, 377)
ID: 22 | Size: Small | Area: 178 px² | Position: (249, 385)
ID: 23 | Size: Small | Area: 46 px² | Position: (213, 376)
ID: 24 | Size: Small | Area: 26 px² | Position: (188, 372)
ID: 25 | Size: Small | Area: 24 px² | Position: (200, 372)
ID: 26 | Size: Small | Area: 88 px² | Position: (160, 366)
ID: 27 | Size: Small | Area: 23 px² | Position: (199, 362)
ID: 28 | Size: Small | Area: 182 px² | Position: (229, 368)
ID: 29 | Size: Small | Area: 98 px² | Position: (87, 364)
ID: 30 | Size: Small | Area: 50 px² | Position: (153, 357)
ID: 31 | Size: Small | Area: 39 px² | Position: (75, 355)
ID: 32 | Size: Small | Area: 35 px² | Position: (117, 351)
ID: 33 | Size: Small | Area: 35 px² | Position: (65, 347)
ID: 34 | Size: Small | Area: 42 px² | Position: (195, 344)
ID: 35 | Size: Small | Area: 156 px² | Position: (138, 350)
ID: 36 | Size: Small | Area: 157 px² | Position: (232, 345)
ID: 37 | Size: Small | Area: 46 px² | Position: (82, 342)
ID: 38 | Size: Small | Area: 128 px² | Position: (174, 351)
ID: 39 | Size: Small | Area: 84 px² | Position: (21, 337)
ID: 40 | Size: Medium | Area: 224 px² | Position: (104, 343)
ID: 41 | Size: Small | Area: 114 px² | Position: (36, 338)
ID: 42 | Size: Small | Area: 42 px² | Position: (24, 325)
ID: 43 | Size: Small | Area: 126 px² | Position: (205, 326)
ID: 44 | Size: Small | Area: 33 px² | Position: (134, 320)
ID: 45 | Size: Small | Area: 22 px² | Position: (245, 320)
ID: 46 | Size: Small | Area: 78 px² | Position: (80, 327)
ID: 47 | Size: Small | Area: 22 px² | Position: (226, 312)
ID: 48 | Size: Small | Area: 76 px² | Position: (68, 315)
ID: 49 | Size: Small | Area: 82 px² | Position: (104, 315)
ID: 50 | Size: Small | Area: 22 px² | Position: (35, 312)
ID: 51 | Size: Small | Area: 84 px² | Position: (249, 311)
ID: 52 | Size: Small | Area: 50 px² | Position: (147, 312)
ID: 53 | Size: Small | Area: 32 px² | Position: (88, 310)
ID: 54 | Size: Small | Area: 84 px² | Position: (158, 316)
